ARTISTA;ALBUM;SCROBBLES
Céu;Apká!;259
Billie Eilish;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;251
Dua Lipa;Future Nostalgia;235
BLACKPINK;THE ALBUM;196
Emicida;O Glorioso Retorno de Quem Nunca Esteve Aqui;180
Emicida;AmarElo;174
Jaloo;ft (pt. 1);147
Lady Gaga;Chromatica;127
Céu;Tropix;123
Gloria Groove;ALEGORIA;122
Brvnks;Morri de Raiva;117
Drik Barbosa;Drik Barbosa;113
Karol Conká;Ambulante;113
Maglore;Todas As Bandeiras;113
Jaloo;#1;107
DUDA BEAT;Sinto Muito;105
Emicida;Sobre Crianças, Quadris, Pesadelos e Lições de Casa...;101
Anavitória;O Tempo É Agora;90
Rodrigo Alarcon;Parte;86
Johnny Hooker;Coração;82
Mc Tha;Rito de Passá;82
Silva;Bloco do Silva (Ao Vivo);82
Maglore;Ill;81
Apanhador Só;Apanhador Só;80
Tuyo;Pra Curar;80
Selvagens À Procura de Lei;Selvagens À Procura De Lei;78
Liniker e os Caramelows;Remonta;74
Scatolove;Cavalice no País das Maravilhas - Episódio 1;71
Drik Barbosa;Espelho;68
Pabllo Vittar;Não Para Não;68
Fresno;sua alegria foi cancelada;67
Taylor Swift;folklore;65
Vivendo do Ócio;O Pensamento É um Imã;65
McFly;Memory Lane (The Best of McFly) [Deluxe Edition];63
Tuyo;Tuyo no Estúdio Showlivre (Ao Vivo);63
Pitty;Matriz;62
RBD;Rebelde;60
Paramore;After Laughter;59
Karol Conká;Batuk Freak;57
Liniker e os Caramelows;Goela Abaixo;56
Rashid;Tão Real;56
RBD;Nuestro Amor;56
Menores Atos;Miopia (Acústico);55
Tulipa Ruiz;Efêmera;55
Mika;The Boy Who Knew Too Much (International AOBP);54
zimbra;O tudo, o nada e o mundo;54
Cícero;Canções de Apartamento;53
Johnny Hooker;Eu Vou Fazer uma Macumba pra te Amarrar, Maldito!;53
Vanguart;Muito Mais Que o Amor;53
Tuyo;Pra Doer;52
