trackname;album_name;album_release_year;track_name;track_number;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;duration_ms;key_name;mode_name;key_mode;word;sentiment
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;ground;trust
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;anticipation
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;joy
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;surprise
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;trust
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;anticipation
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;joy
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;surprise
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;trust
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;break;surprise
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;alive;anticipation
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;alive;joy
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;alive;trust
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;break;surprise
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;anticipation
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;joy
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;surprise
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;trust
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;anticipation
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;joy
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;surprise
26;After Laughter;2017;26;6;0.561;0.286;-10.917;0.0266;0.852;3.56e-5;0.116;0.409;221720;D;major;D major;hope;trust
partii;Paramore;2013;Part II;7;0.435;0.896;-5.14;0.0601;6.66e-4;2.27e-4;0.104;0.49;281240;D;minor;D minor;shame;disgust
partii;Paramore;2013;Part II;7;0.435;0.896;-5.14;0.0601;6.66e-4;2.27e-4;0.104;0.49;281240;D;minor;D minor;shame;fear
partii;Paramore;2013;Part II;7;0.435;0.896;-5.14;0.0601;6.66e-4;2.27e-4;0.104;0.49;281240;D;minor;D minor;shame;sadness
partii;Paramore;2013;Part II;7;0.435;0.896;-5.14;0.0601;6.66e-4;2.27e-4;0.104;0.49;281240;D;minor;D minor;shame;disgust
partii;Paramore;2013;Part II;7;0.435;0.896;-5.14;0.0601;6.66e-4;2.27e-4;0.104;0.49;281240;D;minor;D minor;shame;fear
partii;Paramore;2013;Part II;7;0.435;0.896;-5.14;0.0601;6.66e-4;2.27e-4;0.104;0.49;281240;D;minor;D minor;shame;sadness
