word;n
time;384
world;284
feel;222
real;205
heart;190
sing;154
crying;150
love;150
fun;143
mama;136
alive;118
guess;117
talk;112
stay;109
stop;105
anymore;92
fall;92
song;91
pressure;87
exception;80
run;78
brag;77
eyes;76
god;75
living;74
times;74
bury;72
castle;72
sir;72
win;72
closer;70
meant;70
feels;68
die;67
friend;67
ignorance;67
meet;67
nice;67
stranger;66
treat;66
beats;64
deserved;63
tonight;61
break;60
fade;59
feeling;59
happy;59
4;56
faith;54
pretend;53
coming;52
forget;52
life;51
speaking;51
told;51
wrong;51
change;50
start;50
caught;49
cry;49
day;49
sad;49
native;48
sunday;48
leave;47
lies;47
hero;46
live;45
daydreaming;44
hear;44
hole;44
truth;44
deep;43
alright;41
crush;40
emergency;40
empty;40
fault;40
pain;40
hold;39
orbit;39
worst;39
true;38
blood;37
hit;37
threw;37
wait;37
dig;36
hope;36
shovel;36
watch;36
born;35
dream;35
easy;35
steal;35
circle;34
finally;34
hurt;34
cryin;33
dreams;33
goodbye;33
intention;33
refuse;33
sense;33
smile;33
beat;32
bottom;32
finger;32
future;32
lucky;32
mouth;32
spent;32
tongue;32
em;31
realize;31
remember;31
rewind;30
write;30
count;29
listening;29
mind;29
mirror;29
lovesick;28
melody;28
words;28
decoy;27
fight;27
free;27
friends;27
inside;27
hate;26
holding;26
light;26
mine;26
waiting;26
feet;25
hands;25
matter;25
taking;25
bloody;24
cares;24
left;24
spite;24
taste;24
watching;24
people;23
set;23
songs;23
sound;23
swear;23
worth;23
accept;22
admit;22
built;22
cliff;22
disappoint;22
fear;22
forever;22
gotta;22
ground;22
involving;22
judge;22
names;22
night;22
person;22
pride;22
wildest;22
wrote;22
butterflies;21
chances;21
clue;21
dreaming;21
hard;21
lost;21
moving;21
regret;21
stuck;21
walk;21
won't;21
game;20
grow;20
headed;20
heard;20
home;20
mm;20
rest;20
sitting;20
clock;19
girls;19
lie;19
losing;19
love's;19
running;19
battle;18
breathe;18
counting;18
freefall;18
half;18
happen;18
leaving;18
minute;18
misery;18
promise;18
pushed;18
car;17
chance;17
explain;17
learn;17
proof;17
quick;17
save;17
screaming;17
sink;17
supposed;17
war;17
asleep;16
believing;16
bend;16
breath;16
broken;16
compares;16
competition;16
evening;16
falling;16
fools;16
kill;16
lot;16
magic;16
nights;16
ordinary;16
past;16
pulling;16
pushing;16
quiet;16
scribbled;16
spies;16
stand;16
straight;16
taped;16
watched;16
winning;16
beating;15
days;15
decide;15
glory;15
hallelujah;15
ignore;15
memory;15
million;15
painless;15
rock;15
swore;15
tomorrow;15
blame;14
body;14
close;14
crazy;14
dark;14
driving;14
figure;14
keeping;14
letting;14
reality;14
roll;14
singing;14
sounds;14
trouble;14
wall;14
bad;13
bell;13
care;13
clouds;13
dead;13
deserve;13
fake;13
found;13
hand;13
harder;13
hiding;13
innocent;13
sun;13
waited;13
adored;12
airwaves;12
angry;12
brick;12
bubble;12
careful;12
drowned;12
dying;12
fast;12
forgiveness;12
head's;12
headlines;12
honey;12
it’s;12
lyrics;12
memories;12
mother;12
ohhh;12
perfection;12
play;12
possibilities;12
reach;12
repetition;12
riot;12
star;12
top;12
trust;12
wasting;12
wide;12
angels;11
anybody's;11
belong;11
biggest;11
burn;11
business;11
call;11
could've;11
cycle;11
deny;11
exchanged;11
excite;11
feeding;11
fend;11
fire;11
fish;11
fool;11
fooled;11
gavel;11
hanging;11
happened;11
hourglass;11
house;11
idea;11
itâ;11
jury;11
kid;11
lead;11
listen;11
looked;11
loud;11
months;11
offense;11
pond;11
rapture;11
reaching;11
ring;11
sang;11
sentence;11
shut;11
sleepless;11
strange;11
sworn;11
tears;11
that'll;11
ticking;11
town;11
tricks;11
understand;11
wasted;11
wear;11
weeks;11
whore;11
beneath;10
build;10
colored;10
distance;10
minds;10
nonexistent;10
rose;10
score;10
should've;10
trick;10
victory;10
wake;10
wipe;10
yeaah;10
awake;9
barely;9
blue;9
carried;9
changed;9
dance;9
drive;9
forgotten;9
giving;9
knowing;9
lives;9
makes;9
miles;9
shine;9
started;9
stick;9
style;9
takes;9
woman;9
aloud;8
apologize;8
attached;8
bet;8
boiling;8
cave;8
clouding;8
consequence;8
decode;8
echoes;8
evidence;8
faded;8
fine;8
head;8
hip;8
hurting;8
hypnotic;8
key;8
killed;8
leveling;8
lines;8
lonely;8
midst;8
one's;8
power;8
preach;8
prove;8
race;8
road;8
scars;8
selfish;8
sleep;8
slip;8
spark;8
strong;8
sympathy;8
tower;8
trial;8
violence;8
wondering;8
anklebiters;7
ay;7
bed;7
bit;7
boy;7
changing;7
climb;7
creeps;7
drown;7
escape;7
faster;7
fingers;7
force;7
front;7
iâ;7
knees;7
lay;7
loved;7
met;7
pictures;7
plan;7
pull;7
ripping;7
sit;7
smell;7
someday;7
spider;7
stupid;7
sweetest;7
swim;7
tear;7
teeth;7
tight;7
til;7
worlds;7
abusing;6
acquired;6
angles;6
anytime;6
bare;6
begin;6
bending;6
blackest;6
blow;6
boring;6
burned;6
camera's;6
chorus;6
claim;6
coiled;6
conspiracy;6
cool;6
cranking;6
crossed;6
curtain;6
darker;6
demon;6
deserves;6
dirty;6
door;6
dove;6
everyone's;6
exposure;6
failure;6
fairy;6
false;6
favorite;6
fighting;6
final;6
finished;6
flames;6
flew;6
fly;6
follow;6
forgetting;6
gear;6
goal;6
hang;6
happier;6
honestly;6
houses;6
hung;6
innocence;6
inviting;6
landslide;6
late;6
laws;6
lens;6
low;6
lying;6
miracle;6
naive;6
nerve;6
obvious;6
overlap;6
praying;6
pretending;6
prince;6
push;6
rains;6
ready;6
reason;6
resist;6
restore;6
roads;6
safe;6
safest;6
seat;6
settling;6
shame;6
shortcuts;6
shy;6
silence;6
silly;6
soul;6
struck;6
sweating;6
tale;6
temporary;6
till;6
tired;6
trade;6
tragedy;6
tragic;6
trigger;6
twelve;6
voice;6
waste;6
wine;6
wings;6
woah;6
woes;6
wolf's;6
writing;6
arms;5
breaks;5
bridge;5
broke;5
comfortable;5
consume;5
content;5
crawling;5
daddy;5
everything's;5
exist;5
fence;5
fragile;5
girl;5
glowing;5
grip;5
hearts;5
held;5
hurts;5
illusions;5
interlock;5
lasts;5
laugh;5
lived;5
loneliness;5
map;5
miss;5
momma;5
morning;5
move;5
park;5
pick;5
pretty;5
promised;5
reassemble;5
recount;5
risk;5
scared;5
shore;5
shoulder;5
slowly;5
speak;5
stars;5
story;5
twisted;5
unending;5
wave;5
weather;5
weight;5
wheels;5
wind;5
wishing;5
ya;5
yeaaaaaah;5
23;4
acquainted;4
afraid;4
aging;4
ahead;4
alarming;4
altruistic;4
ba;4
band;4
begun;4
bleed;4
bonus;4
breathless;4
bringing;4
burning;4
circles;4
cramming;4
cross;4
curse;4
darling;4
decisions;4
depends;4
didn’t;4
dime;4
don’t;4
doors;4
dreamers;4
dry;4
easier;4
easily;4
eating;4
echo;4
endlessly;4
evolve;4
factory;4
fallen;4
fallin;4
filled;4
finding;4
frown;4
genuinely;4
ghosts;4
glued;4
god's;4
gon;4
granted;4
hall;4
haven;4
heal;4
hint;4
holiday;4
hollowed;4
holy;4
humble;4
hundred;4
ideas;4
jagged;4
japanese;4
kudos;4
language;4
laughed;4
leavin;4
letter;4
line;4
listed;4
logical;4
lose;4
mess;4
mistakes;4
monster;4
opinion;4
passin;4
passionate;4
passive;4
permanent;4
peter;4
phone;4
playing;4
practice;4
precision;4
pulse;4
remind;4
rhyme;4
runs;4
scraped;4
shake;4
ship;4
simply;4
single;4
sinking;4
smiled;4
snare;4
starting;4
starving;4
street;4
strength;4
sunrise;4
survive;4
talking;4
teenage;4
throat;4
tie;4
tighter;4
towers;4
track;4
travelin;4
undying;4
