word;n
time;96
feel;46
heart;45
sing;39
world;36
love;28
alive;26
eyes;25
times;25
anymore;24
daydreaming;22
break;21
crush;20
gotta;20
hard;20
fun;19
real;19
song;19
crying;18
guess;18
happen;17
leave;17
remember;17
run;17
die;16
exception;16
future;16
pressure;16
beats;15
coming;15
dream;15
em;15
hate;15
mm;15
alright;14
day;14
feeling;14
truth;14
lies;13
live;13
mama;13
stay;13
taking;13
win;13
born;12
bury;12
castle;12
faith;12
fall;12
hope;12
living;12
lost;12
mouth;12
tonight;12
wrong;12
dreaming;11
forget;11
glory;11
life;11
night;11
start;11
talk;11
told;11
change;10
closer;10
grow;10
half;10
inside;10
lucky;10
lyrics;10
pain;10
stop;10
waiting;10
walk;10
bottom;9
changed;9
deserved;9
free;9
girls;9
hit;9
hole;9
left;9
mind;9
rock;9
4;8
broken;8
car;8
close;8
compares;8
counting;8
crazy;8
cry;8
deep;8
evening;8
finger;8
friends;8
god;8
goodbye;8
ground;8
hold;8
light;8
mirror;8
proof;8
quiet;8
scribbled;8
singing;8
someday;8
sound;8
spies;8
taped;8
words;8
worst;8
worth;8
angry;7
anklebiters;7
brag;7
care;7
dark;7
driving;7
fade;7
feels;7
forever;7
friend;7
ignorance;7
moving;7
nice;7
rest;7
roll;7
sense;7
sir;7
spark;7
taste;7
call;6
darker;6
dig;6
dying;6
explain;6
falling;6
fast;6
fault;6
fear;6
fight;6
hands;6
home;6
hurt;6
learn;6
lot;6
meant;6
meet;6
mine;6
miracle;6
one's;6
promise;6
reality;6
rewind;6
sad;6
save;6
set;6
shine;6
shovel;6
stranger;6
strong;6
threw;6
treat;6
war;6
wide;6
asleep;5
butterflies;5
chances;5
door;5
emergency;5
fighting;5
finally;5
glowing;5
hallelujah;5
hear;5
keeping;5
kill;5
leaving;5
lonely;5
people;5
play;5
realize;5
shame;5
smile;5
style;5
town;5
wake;5
watching;5
won't;5
airwaves;4
apologize;4
barely;4
beat;4
beating;4
bend;4
blood;4
careful;4
caught;4
cave;4
claim;4
cliff;4
cost;4
count;4
days;4
dead;4
dreams;4
empty;4
feet;4
fine;4
follow;4
freefall;4
game;4
head;4
headed;4
headlines;4
holding;4
holiday;4
hundred;4
listening;4
lives;4
loud;4
lovesick;4
melody;4
minds;4
minute;4
power;4
push;4
reach;4
regret;4
remind;4
riot;4
road;4
screaming;4
spent;4
spite;4
stand;4
started;4
steal;4
sun;4
sympathy;4
takes;4
tower;4
true;4
violence;4
wave;4
woman;4
admit;3
adored;3
arms;3
battle;3
beginning;3
believing;3
beneath;3
build;3
built;3
camera's;3
cares;3
chance;3
clock;3
clouds;3
clue;3
conspiracy;3
crossed;3
dance;3
decide;3
distance;3
dreamers;3
easy;3
falls;3
faster;3
gear;3
giving;3
hand;3
hanging;3
happy;3
heard;3
hiding;3
honestly;3
house;3
hung;3
innocence;3
intention;3
laugh;3
lines;3
losing;3
lying;3
makes;3
matter;3
memories;3
memory;3
mess;3
nights;3
obvious;3
orbit;3
painless;3
past;3
pretend;3
pretending;3
pride;3
quick;3
refuse;3
restore;3
running;3
safe;3
sang;3
selfish;3
shore;3
sink;3
sit;3
sitting;3
skin;3
slow;3
songs;3
straight;3
survive;3
swear;3
tied;3
til;3
trade;3
trust;3
wait;3
waste;3
watch;3
write;3
writing;3
accept;2
acquired;2
ahead;2
air;2
answer;2
band;2
bed;2
begin;2
bell;2
belong;2
blackest;2
blame;2
blind;2
breath;2
breathe;2
brick;2
bright;2
brighter;2
bringing;2
burn;2
burning;2
circles;2
confess;2
control;2
cool;2
couch;2
counted;2
dancing;2
defend;2
deny;2
depends;2
deserve;2
died;2
dove;2
drive;2
drop;2
drowned;2
dry;2
echo;2
endlessly;2
enemy's;2
everyone's;2
everything's;2
evolve;2
fake;2
false;2
favorite;2
figure;2
filled;2
fingers;2
fire;2
flames;2
flew;2
fly;2
fools;2
forgiveness;2
found;2
fragile;2
front;2
ghosts;2
girl;2
glued;2
granted;2
hall;2
happier;2
harder;2
head's;2
heal;2
hollowed;2
hoped;2
houses;2
hurting;2
ignore;2
innocent;2
involving;2
judge;2
key;2
kick;2
knees;2
knock;2
landslide;2
letting;2
lie;2
looked;2
loved;2
magic;2
misery;2
miss;2
mistakes;2
move;2
mystery;2
names;2
nonexistent;2
notice;2
ohhh;2
overlap;2
passing;2
patterns;2
perfection;2
person;2
possibilities;2
prove;2
proved;2
rains;2
ran;2
reaching;2
ready;2
reason;2
resist;2
ripping;2
rise;2
rot;2
scars;2
ship;2
shut;2
simple;2
single;2
sinking;2
sleep;2
smell;2
speak;2
starting;2
stuck;2
sunrise;2
supposed;2
swim;2
swore;2
sworn;2
talking;2
ten;2
tight;2
tiny;2
tomb;2
top;2
towers;2
travelin;2
trigger;2
trouble;2
twisted;2
uncomfortable;2
understand;2
victory;2
waited;2
wall;2
watched;2
white;2
wildest;2
window;2
wine;2
wings;2
worlds;2
worthless;2
wrote;2
yeaah;2
yesterday;2
24;1
â;1
abuse;1
acquainted;1
afraid;1
aging;1
angeles;1
angles;1
anybody's;1
apartment;1
ate;1
attached;1
attention;1
awake;1
awkward;1
ay;1
backward;1
backwards;1
bad;1
badly;1
ball;1
bare;1
beauty;1
beg;1
bending;1
bet;1
betrayed;1
bigger;1
biggest;1
bit;1
bitter;1
black;1
blazing;1
blow;1
body;1
boiling;1
bored;1
boring;1
borrow;1
boy;1
brave;1
breaks;1
bridge;1
bring;1
broke;1
brought;1
bubble;1
buried;1
burned;1
bus;1
business;1
callous;1
capture;1
carried;1
catch;1
caused;1
changing;1
chasing;1
cheap;1
chemicals;1
chew;1
choice;1
circle;1
city;1
clapping;1
classify;1
climb;1
closet;1
clouding;1
coffee;1
coiled;1
cold;1
colored;1
comfortable;1
common;1
completely;1
compromise;1
constant;1
content;1
conviction;1
convinced;1
copied;1
core;1
could've;1
counts;1
couple;1
cramming;1
cranking;1
crawling;1
creatures;1
creep;1
creeps;1
cried;1
cross;1
cruel;1
crystal;1
curse;1
curtain;1
cut;1
cuts;1
cycle;1
cynical;1
daddy;1
darkened;1
darling;1
daydreamer;1
deal;1
dear;1
decisions;1
decode;1
demon;1
describe;1
dime;1
direction;1
dirty;1
disguised;1
display;1
doors;1
doorstep;1
drama;1
drinkin;1
drown;1
dullest;1
easily;1
eatin;1
embraced;1
emptier;1
escape;1
escaped;1
eventually;1
everyday;1
exchanged;1
excite;1
exist;1
expect;1
expecting;1
exposure;1
extent;1
extra;1
facing;1
fades;1
fails;1
fairly;1
fairy;1
fallen;1
fantasy;1
fears;1
feeding;1
fence;1
fences;1
fend;1
final;1
finding;1
finished;1
finite;1
fish;1
float;1
floor;1
flown;1
focus;1
fool;1
fooled;1
force;1
forged;1
forgive;1
forgotten;1
formed;1
forward;1
frown;1
gavel;1
ghost;1
giddy;1
gimme;1
goal;1
god's;1
graduated;1
grip;1
growing;1
grudges;1
guts;1
happened;1
hardest;1
haze;1
hearts;1
heaven;1
held;1
hero;1
heroes;1
hint;1
hip;1
holy;1
honey;1
honors;1
hooked;1
hopes;1
hoping;1
hourglass;1
hours;1
human;1
humble;1
hurts;1
idea;1
ideas;1
idle;1
illusions;1
indestructible;1
initiates;1
interlock;1
inviting;1
journey;1
joy;1
jury;1
kid;1
kids;1
killed;1
knife;1
lady;1
lasts;1
leadder;1
learned;1
learning;1
leash;1
lens;1
lightning;1
lights;1
limelight;1
limits;1
line;1
lived;1
livin;1
lock;1
locked;1
logical;1
loneliness;1
loner;1
los;1
lose;1
lungs;1
mad;1
map;1
measure;1
mercy;1
met;1
middle;1
miles;1
million;1
misguided;1
missing;1
mistake;1
momma;1
money;1
months;1
moon;1
morning;1
mother;1
movie;1
naive;1
nerve;1
numbered;1
offense;1
opinion;1
overgrown;1
oxygen;1
pace;1
paper;1
park;1
passed;1
patch;1
patience;1
pawns;1
perception;1
perfect;1
personal;1
personality;1
picket;1
pictures;1
pink;1
pity;1
plan;1
playing;1
pleasing;1
pond;1
pool;1
pour;1
praying;1
precision;1
pretty;1
prince;1
prize;1
promised;1
pull;1
pumping;1
punctured;1
pushed;1
question;1
rage;1
raincloud;1
raising;1
ramen;1
rapture;1
reached;1
read;1
reassemble;1
recount;1
red;1
reflect;1
relive;1
rely;1
remain;1
remains;1
remembering;1
replaced;1
reruns;1
restrictions;1
return;1
ride;1
righteous;1
ring;1
risk;1
roads;1
romance;1
rose;1
round;1
safest;1
salt;1
savin;1
sawing;1
scared;1
scenes;1
school;1
schoolhouse;1
score;1
scrapped;1
scripted;1
searching;1
seat;1
security;1
selfishness;1
sentence;1
separate;1
settled;1
settling;1
shadow;1
shangri;1
shifting;1
short;1
shortcuts;1
shorter;1
shots;1
shoulder;1
shy;1
sick;1
sign;1
silence;1
silly;1
simply;1
sin;1
sky;1
sleepless;1
slip;1
smiling;1
smoothly;1
soak;1
social;1
softest;1
softly;1
sort;1
soul;1
speed;1
spider;1
spill;1
spit;1
spotted;1
standing;1
staying;1
steps;1
stick;1
stood;1
stops;1
street;1
strength;1
struck;1
stupid;1
surrounded;1
survival;1
sweet;1
sweetest;1
syrupy;1
tale;1
tear;1
tears;1
teeth;1
tellin;1
that'll;1
thin;1
throat;1
throw;1
ticking;1
tie;1
tired;1
tomorrow;1
tongue;1
totally;1
touches;1
tough;1
trace;1
tracing;1
tragedy;1
tragic;1
treats;1
trick;1
tricks;1
trusted;1
twelve;1
uncertainty;1
uncharted;1
undercurrent;1
unending;1
unfamiliar;1
unnecessary;1
unsure;1
useless;1
veins;1
verbalize;1
view;1
voice;1
voicemail;1
waking;1
walking;1
walls;1
warm;1
weakness;1
wear;1
wearing;1
weeks;1
weight;1
west;1
whats;1
wheels;1
whore;1
wind;1
wolf's;1
wondering;1
wont;1
word;1
worship;1
would've;1
wounds;1
wringer;1
ya;1
yeaaaaaah;1
