Dia;data;semanaEpi;casosAcumulado;casosNovos
1;27/03/2020;13;0;0
2;28/03/2020;13;1;1
3;29/03/2020;14;1;0
4;30/03/2020;14;1;0
5;31/03/2020;14;1;0
6;01/04/2020;14;1;0
7;02/04/2020;14;1;0
8;03/04/2020;14;1;0
9;04/04/2020;14;1;0
10;05/04/2020;15;1;0
11;06/04/2020;15;1;0
12;07/04/2020;15;3;2
13;08/04/2020;15;3;0
14;09/04/2020;15;3;0
15;10/04/2020;15;5;2
16;11/04/2020;15;5;0
17;12/04/2020;16;5;0
18;13/04/2020;16;5;0
19;14/04/2020;16;5;0
20;15/04/2020;16;5;0
21;16/04/2020;16;7;2
22;17/04/2020;16;7;0
23;18/04/2020;16;7;0
24;19/04/2020;17;7;0
25;20/04/2020;17;8;1
26;21/04/2020;17;9;1
27;22/04/2020;17;11;2
28;23/04/2020;17;15;4
29;24/04/2020;17;19;4
30;25/04/2020;17;20;1
31;26/04/2020;18;20;0
32;27/04/2020;18;21;1
33;28/04/2020;18;25;4
34;29/04/2020;18;30;5
35;30/04/2020;18;34;4
36;01/05/2020;18;50;16
37;02/05/2020;18;54;4
38;03/05/2020;19;57;3
39;04/05/2020;19;57;0
40;05/05/2020;19;59;2
41;06/05/2020;19;64;5
42;07/05/2020;19;74;10
43;08/05/2020;19;82;8
44;09/05/2020;19;89;7
45;10/05/2020;20;95;6
46;11/05/2020;20;95;0
47;12/05/2020;20;96;1
48;13/05/2020;20;108;12
49;14/05/2020;20;118;10
50;15/05/2020;20;125;7
51;16/05/2020;20;132;7
52;17/05/2020;21;136;4
53;18/05/2020;21;137;1
54;19/05/2020;21;139;2
55;20/05/2020;21;159;20
56;21/05/2020;21;163;4
57;22/05/2020;21;184;21
58;23/05/2020;21;211;27
59;24/05/2020;22;213;2
60;25/05/2020;22;213;0
61;26/05/2020;22;213;0
62;27/05/2020;22;222;9
63;28/05/2020;22;232;10
64;29/05/2020;22;244;12
65;30/05/2020;22;257;13
66;31/05/2020;23;261;4
67;01/06/2020;23;261;0
68;02/06/2020;23;273;12
69;03/06/2020;23;294;21
70;04/06/2020;23;320;26
71;05/06/2020;23;331;11
72;06/06/2020;23;347;16
73;07/06/2020;24;348;1
74;08/06/2020;24;349;1
75;09/06/2020;24;375;26
76;10/06/2020;24;404;29
77;11/06/2020;24;416;12
78;12/06/2020;24;441;25
79;13/06/2020;24;443;2
80;14/06/2020;25;470;27
81;15/06/2020;25;471;1
82;16/06/2020;25;483;12
83;17/06/2020;25;485;2
84;18/06/2020;25;489;4
85;19/06/2020;25;526;37
86;20/06/2020;25;537;11
87;21/06/2020;26;541;4
88;22/06/2020;26;543;2
89;23/06/2020;26;559;16
90;24/06/2020;26;578;19
91;25/06/2020;26;592;14
